ID,start,end,code,coordenadaX,coordenadaY,resultado_rucks,Velocidad de salida de la pelota,numero_de_jugadores_utilizados,jugador,Periodo,lado_de_cancha,zona_de_la_cancha,resultado,type,origine,fin,Kicker,cote_terrain_fin_action,zona_de_la_cancha_fin_de_accion,tipo_de_pase,resultado_pase,metros_recorridos,tipo_de_juego_con_el_pie,disputas,coordenadaXA,coordenadaYA,altura_de_tackles,Eficiencia,Post tackle accion,tipo_de_defensa,resultado_contactos,numero_de_defensores_abatidos,tipo_de_recuperacion,lado_de_cancha2,zona_de_la_cancha2,orden_de_llegada,Eficiencia linea,tipo_de_perdida_pelota,duel_aerien,tipos_de_faltas,origen_del_falta,tipo_de_puntos,resultado_2,tiempo,numero_de_jugadores_en_el_line,tipo_de_lanzamiento,Lanzador,saltador,resultado_saltador,resultado_lanzador,lado_de_cancha2_fin_de_action,origen_del_try,first_half_chrono,second_half_chrono,jugadores_participantes_scrums_1,jugadores_participantes_scrums_2,jugadores_participantes_scrums_3,jugadores_participantes_scrums_4,jugadores_participantes_scrums_5,tipo_de_lanzamiento_scrum,jugadores_participantes_scrums_1_opp,jugadores_participantes_scrums_2_opp,jugadores_participantes_scrums_3_opp,jugadores_participantes_scrums_4_opp,jugadores_participantes_scrums_5_opp,plaquage_dangereux,tipo_de_juego_con_manos,arret_de_volee,50_22,player_out,player_in,tiempo2,Tarjetas,player_out_yellow,player_in_yellow,scrum_reset
1,870.9358777777778,885.9358777777778,Lions Britanniques et Irlandais - Rucks,61,37,Positivo,3 - 6 sec,5 y mas,Maro ITOJE,1ro cuarto,20m - 0,22m - 50m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,870.9358777777778,885.9358777777778,Lions Britanniques et Irlandais - Rucks,61,37,Positivo,3 - 6 sec,5 y mas,,1ro cuarto,20m - 0,22m - 50m,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,872.5944517777777,884.5944517777777,Lions Britanniques et Irlandais - Recepcion en el aire,61,36,,,,Maro ITOJE,1ro cuarto,,,Positivo,Coups d'envoi,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,872.7165897777778,1083.7795257777777,Secuencia de juego,,,,,,,1ro cuarto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,873.9723917777778,878.5653827777778,Argentine - Posesion,,,,,,,1ro cuarto,,50m - 22m adv,,,Argentine - Salida,Lions Britanniques et Irlandais - Recepcion en el aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,873.9723917777778,878.5653827777778,Argentine - 50m - 22m adv,,,,,,,1ro cuarto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,873.9823917777778,1083.7795257777777,Argentine - Salida,10,65,,,,,1ro cuarto,,,Neutro,,,,Tomas ALBORNOZ,0 - 20m,50m - 22m adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,873.9823917777778,1083.7795257777777,Argentine - Salida,10,65,Positivo,3 - 6 sec,3,,1ro cuarto,0 - 20m,22m - 50m,Neutro,,,,,0 - 20m,22m - 50m,Simple,Positivo,2m,Corto,Contestable et Conteste,2,49,Tackles abajo,Perdida,Defensor en el suelo y de pie,Linea,Positivo,2,Juego con el pie,0 - 20m,50m - 22m adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,875.5340657777779,888.5340657777779,Lions Britanniques et Irlandais - Apoyo en ataque,,,,,,,1ro cuarto,,,Positivo,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,875.5340657777779,894.1247707777778,Lions Britanniques et Irlandais - Apoyo en ataque,,,,,,Finlay BEALHAM,1ro cuarto,,,Positivo,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,876.1626827777778,886.1626827777778,Argentine - Disputas,10,64,,,,Franco MOLINA,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,876.1626827777778,886.1626827777778,Argentine - Disputas,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,876.2408157777778,889.2408157777778,Lions Britanniques et Irlandais - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,877.2495507777778,890.2495507777778,Lions Britanniques et Irlandais - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,878.5844517777778,894.1343587777778,Lions Britanniques et Irlandais - Posesion,,,,,,,1ro cuarto,,22m - 50m,,,Lions Britanniques et Irlandais - Recepcion en el aire,Argentine - Cambio de posesion y contrataque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,878.5844517777778,894.1343587777778,Lions Britanniques et Irlandais - 22m - 50m,,,,,,,1ro cuarto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,881.0573407777778,904.0573407777778,Argentine - Cambio de posesion y contrataque,19,42,,,,Tomas ALBORNOZ,1ro cuarto,0 - 20m,22m - 50m,,,,,,,,,,,,,,,,,,,,,Juego con el pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
