Row Name,Clip Start,Clip End,EQUIPO,Coordenada X,Coordenada Y,Numero de jugadores en el lineout,RESULTADO,SHOTER,SHOT_RESULT,Saltador,Resultado saltador,DELIVERY,LINE_SIDE,ZONA,MATCH,URL
New Zeland - Lineouts,411.370,431.370,NZD,0,34,5 + 1,WIN,Codie TAYLOR,POS,Fabian HOLLAND,Positivo,Falso maul,IZQ,ZONA 2,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,793.498,813.498,NZD,71,60,4,WIN,Codie TAYLOR,POS,Tupou VA'AI,Positivo,Delivery de arriba,DER,ZONA 3,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,1014.294,1034.294,NZD,0,26,5 + 1,WIN,Codie TAYLOR,POS,Fabian HOLLAND,Positivo,Falso maul,IZQ,ZONA 2,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
France - Lineouts,1109.584,1129.584,FRA,71,45,5 + 1,WIN,Gaetan BARLOT,POS,Hugo AURADOU,Positivo,Maul,DER,ZONA 2,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,1710.261,1730.261,NZD,0,53,5,WIN,Codie TAYLOR,POS,Tupou VA'AI,Positivo,Maul,IZQ,ZONA 3,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,1909.347,1929.347,NZD,0,93,6 + 1,WIN,Codie TAYLOR,POS,Fabian HOLLAND,Positivo,Maul,IZQ,ZONA 4,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
France - Lineouts,2205.451,2225.451,FRA,71,64,6 + 1,WIN,Gaetan BARLOT,POS,Killian TIXERONT,Positivo,Maul,DER,ZONA 3,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,2365.736,2385.736,NZD,71,51,4,WIN,Codie TAYLOR,POS,Scott BARRETT,Positivo,Delivery de abajo,DER,ZONA 3,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,2422.671,2442.671,NZD,71,90,7 + 1,WIN,Codie TAYLOR,POS,Christian LIO-WILLIE,Positivo,Delivery de arriba,DER,ZONA 4,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,2468.364,2488.364,NZD,0,70,6,WIN,Codie TAYLOR,POS,Tupou VA'AI,Positivo,Maul,IZQ,ZONA 3,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,2649.418,2669.418,NZD,71,87,7 + 1,WIN,Codie TAYLOR,POS,Scott BARRETT,Positivo,Delivery de arriba,DER,ZONA 4,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,3151.426,3171.426,NZD,71,90,7 + 1,WIN,Codie TAYLOR,POS,Christian LIO-WILLIE,Positivo,Delivery de arriba,DER,ZONA 4,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,3969.895,3989.895,NZD,71,80,7 + 1,WIN,Codie TAYLOR,POS,Fabian HOLLAND,Positivo,Delivery de arriba,DER,ZONA 4,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,4380.937,4400.937,NZD,71,64,6,Neutro,Samisoni TAUKEIAHO,NEG,Ardie SAVEA,Negativo,+15m,DER,ZONA 3,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,4458.202,4478.202,NZD,71,86,7 + 1,WIN,Samisoni TAUKEIAHO,POS,Tupou VA'AI,Positivo,Delivery de arriba,DER,ZONA 4,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
France - Lineouts,4691.625,4711.625,FRA,71,41,6 + 1,WIN,Pierre BOURGARIT,POS,Cameron WOKI,Positivo,Maul,DER,ZONA 2,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,4734.228,4754.228,NZD,0,60,6,WIN,Samisoni TAUKEIAHO,POS,Samipeni FINAU,Positivo,Maul,IZQ,ZONA 3,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
France - Lineouts,4927.361,4947.361,FRA,71,38,5 + 1,WIN,Pierre BOURGARIT,POS,Cameron WOKI,Positivo,Maul,DER,ZONA 2,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
New Zeland - Lineouts,5067.107,5087.107,NZD,0,53,5 + 1,WIN,Samisoni TAUKEIAHO,POS,Fabian HOLLAND,Positivo,Otros lanzamientos,IZQ,ZONA 3,P01,https://www.youtube.com/watch?v=djRzTJVPWW0
